+650627179.0ns;86;75;905;1;131;false;0;00:00:00:00:00:01;0;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:01;0;00:00:00:00:00:c9;200;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-80.3893;false
+651787206.0ns;127;14;905;1;128;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-96.3893;false
+653435222.0ns;15;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:74;115;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:74;115;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-87.9787;true
+654595233.0ns;129;14;905;1;128;false;115;00:00:00:00:00:74;115;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:74;115;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-71.9787;false
+656243246.0ns;20;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:92;145;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:92;145;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-88.9718;true
+657403258.0ns;131;14;905;1;128;false;145;00:00:00:00:00:92;145;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:92;145;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-72.9718;false
+658999280.0ns;41;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:86;133;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:86;133;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-92.5003;true
+660159297.0ns;133;14;905;1;128;false;133;00:00:00:00:00:86;133;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:86;133;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.5003;false
+661755300.0ns;12;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:91;144;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:91;144;OfdmRate1_2MbpsBW1MHz;3;0;1;false;false;0;-113.976;-87.6924;true
+662915310.0ns;135;14;905;1;128;false;144;00:00:00:00:00:91;144;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:91;144;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-71.6924;false
