+0.0ns;STA;66;5.2;3.6;-0.3
+0.0ns;STA;67;6;3.6;-0.3
+0.0ns;STA;68;6.8;3.6;-0.3
+0.0ns;STA;69;7.6;3.6;-0.3
+0.0ns;STA;70;8.4;3.6;-0.3
+0.0ns;STA;71;9.2;3.6;-0.3
+0.0ns;STA;72;10;3.6;-0.3
+0.0ns;STA;73;10.8;3.6;-0.3
+0.0ns;STA;74;11.6;3.6;-0.3
+0.0ns;STA;75;0.4;4.4;-0.3
+0.0ns;STA;76;1.2;4.4;-0.3
+0.0ns;STA;77;2;4.4;-0.3
+0.0ns;STA;78;2.8;4.4;-0.3
+0.0ns;STA;79;3.6;4.4;-0.3
+0.0ns;STA;80;4.4;4.4;-0.3
+0.0ns;STA;81;5.2;4.4;-0.3
+0.0ns;STA;82;6;4.4;-0.3
+0.0ns;STA;83;6.8;4.4;-0.3
+0.0ns;STA;84;7.6;4.4;-0.3
+0.0ns;STA;85;8.4;4.4;-0.3
+0.0ns;STA;86;9.2;4.4;-0.3
+0.0ns;STA;87;10;4.4;-0.3
+0.0ns;STA;88;10.8;4.4;-0.3
+0.0ns;STA;89;11.6;4.4;-0.3
+0.0ns;STA;90;0.4;5.2;-0.3
+0.0ns;STA;91;1.2;5.2;-0.3
+0.0ns;STA;92;2;5.2;-0.3
+0.0ns;STA;93;2.8;5.2;-0.3
+0.0ns;STA;94;3.6;5.2;-0.3
+0.0ns;STA;95;4.4;5.2;-0.3
+0.0ns;STA;96;5.2;5.2;-0.3
+0.0ns;STA;97;6;5.2;-0.3
+0.0ns;STA;98;6.8;5.2;-0.3
+0.0ns;STA;99;7.6;5.2;-0.3
+0.0ns;STA;100;8.4;5.2;-0.3
+0.0ns;STA;101;9.2;5.2;-0.3
+0.0ns;STA;102;10;5.2;-0.3
+0.0ns;STA;103;10.8;5.2;-0.3
+0.0ns;STA;104;11.6;5.2;-0.3
+0.0ns;STA;105;0.4;6;-0.3
+0.0ns;STA;106;1.2;6;-0.3
+0.0ns;STA;107;2;6;-0.3
+0.0ns;STA;108;2.8;6;-0.3
+0.0ns;STA;109;3.6;6;-0.3
+0.0ns;STA;110;4.4;6;-0.3
+0.0ns;STA;111;5.2;6;-0.3
+0.0ns;STA;112;6;6;-0.3
+0.0ns;STA;113;6.8;6;-0.3
+0.0ns;STA;114;7.6;6;-0.3
+0.0ns;STA;115;8.4;6;-0.3
+0.0ns;STA;116;9.2;6;-0.3
+0.0ns;STA;117;10;6;-0.3
+0.0ns;STA;118;10.8;6;-0.3
+0.0ns;STA;119;11.6;6;-0.3
+0.0ns;STA;120;0.4;6.8;-0.3
+0.0ns;STA;121;1.2;6.8;-0.3
+0.0ns;STA;122;2;6.8;-0.3
+0.0ns;STA;123;2.8;6.8;-0.3
+0.0ns;STA;124;3.6;6.8;-0.3
+0.0ns;STA;125;4.4;6.8;-0.3
+0.0ns;STA;126;5.2;6.8;-0.3
+0.0ns;STA;127;6;6.8;-0.3
+0.0ns;STA;128;6.8;6.8;-0.3
+0.0ns;STA;129;7.6;6.8;-0.3
+0.0ns;STA;130;8.4;6.8;-0.3
+0.0ns;STA;131;9.2;6.8;-0.3
+0.0ns;STA;132;10;6.8;-0.3
+0.0ns;STA;133;10.8;6.8;-0.3
+0.0ns;STA;134;11.6;6.8;-0.3
+0.0ns;STA;135;0.4;7.6;-0.3
+0.0ns;STA;136;1.2;7.6;-0.3
+0.0ns;STA;137;2;7.6;-0.3
+0.0ns;STA;138;2.8;7.6;-0.3
+0.0ns;STA;139;3.6;7.6;-0.3
+0.0ns;STA;140;4.4;7.6;-0.3
+0.0ns;STA;141;5.2;7.6;-0.3
+0.0ns;STA;142;6;7.6;-0.3
+0.0ns;STA;143;6.8;7.6;-0.3
+0.0ns;STA;144;7.6;7.6;-0.3
+0.0ns;STA;145;8.4;7.6;-0.3
+0.0ns;STA;146;9.2;7.6;-0.3
+0.0ns;STA;147;10;7.6;-0.3
+0.0ns;STA;148;10.8;7.6;-0.3
+0.0ns;STA;149;11.6;7.6;-0.3
+0.0ns;STA;150;0.4;8.4;-0.3
+0.0ns;STA;151;1.2;8.4;-0.3
+0.0ns;STA;152;2;8.4;-0.3
+0.0ns;STA;153;2.8;8.4;-0.3
+0.0ns;STA;154;3.6;8.4;-0.3
+0.0ns;STA;155;4.4;8.4;-0.3
+0.0ns;STA;156;5.2;8.4;-0.3
+0.0ns;STA;157;6;8.4;-0.3
+0.0ns;STA;158;6.8;8.4;-0.3
+0.0ns;STA;159;7.6;8.4;-0.3
+0.0ns;STA;160;8.4;8.4;-0.3
+0.0ns;STA;161;9.2;8.4;-0.3
+0.0ns;STA;162;10;8.4;-0.3
+0.0ns;STA;163;10.8;8.4;-0.3
