+0.0ns;/NodeList/94/$ns3::MobilityModel/CourseChange;STA;94;3.6;5.2;-0.3
+0.0ns;/NodeList/95/$ns3::MobilityModel/CourseChange;STA;95;4.4;5.2;-0.3
+0.0ns;/NodeList/96/$ns3::MobilityModel/CourseChange;STA;96;5.2;5.2;-0.3
+0.0ns;/NodeList/97/$ns3::MobilityModel/CourseChange;STA;97;6;5.2;-0.3
+0.0ns;/NodeList/98/$ns3::MobilityModel/CourseChange;STA;98;6.8;5.2;-0.3
+0.0ns;/NodeList/99/$ns3::MobilityModel/CourseChange;STA;99;7.6;5.2;-0.3
+0.0ns;/NodeList/100/$ns3::MobilityModel/CourseChange;STA;100;8.4;5.2;-0.3
+0.0ns;/NodeList/101/$ns3::MobilityModel/CourseChange;STA;101;9.2;5.2;-0.3
+0.0ns;/NodeList/102/$ns3::MobilityModel/CourseChange;STA;102;10;5.2;-0.3
+0.0ns;/NodeList/103/$ns3::MobilityModel/CourseChange;STA;103;10.8;5.2;-0.3
+0.0ns;/NodeList/104/$ns3::MobilityModel/CourseChange;STA;104;11.6;5.2;-0.3
+0.0ns;/NodeList/105/$ns3::MobilityModel/CourseChange;STA;105;0.4;6;-0.3
+0.0ns;/NodeList/106/$ns3::MobilityModel/CourseChange;STA;106;1.2;6;-0.3
+0.0ns;/NodeList/107/$ns3::MobilityModel/CourseChange;STA;107;2;6;-0.3
+0.0ns;/NodeList/108/$ns3::MobilityModel/CourseChange;STA;108;2.8;6;-0.3
+0.0ns;/NodeList/109/$ns3::MobilityModel/CourseChange;STA;109;3.6;6;-0.3
+0.0ns;/NodeList/110/$ns3::MobilityModel/CourseChange;STA;110;4.4;6;-0.3
+0.0ns;/NodeList/111/$ns3::MobilityModel/CourseChange;STA;111;5.2;6;-0.3
+0.0ns;/NodeList/112/$ns3::MobilityModel/CourseChange;STA;112;6;6;-0.3
+0.0ns;/NodeList/113/$ns3::MobilityModel/CourseChange;STA;113;6.8;6;-0.3
+0.0ns;/NodeList/114/$ns3::MobilityModel/CourseChange;STA;114;7.6;6;-0.3
+0.0ns;/NodeList/115/$ns3::MobilityModel/CourseChange;STA;115;8.4;6;-0.3
+0.0ns;/NodeList/116/$ns3::MobilityModel/CourseChange;STA;116;9.2;6;-0.3
+0.0ns;/NodeList/117/$ns3::MobilityModel/CourseChange;STA;117;10;6;-0.3
+0.0ns;/NodeList/118/$ns3::MobilityModel/CourseChange;STA;118;10.8;6;-0.3
+0.0ns;/NodeList/119/$ns3::MobilityModel/CourseChange;STA;119;11.6;6;-0.3
+0.0ns;/NodeList/120/$ns3::MobilityModel/CourseChange;STA;120;0.4;6.8;-0.3
+0.0ns;/NodeList/121/$ns3::MobilityModel/CourseChange;STA;121;1.2;6.8;-0.3
+0.0ns;/NodeList/122/$ns3::MobilityModel/CourseChange;STA;122;2;6.8;-0.3
+0.0ns;/NodeList/123/$ns3::MobilityModel/CourseChange;STA;123;2.8;6.8;-0.3
+0.0ns;/NodeList/124/$ns3::MobilityModel/CourseChange;STA;124;3.6;6.8;-0.3
+0.0ns;/NodeList/125/$ns3::MobilityModel/CourseChange;STA;125;4.4;6.8;-0.3
+0.0ns;/NodeList/126/$ns3::MobilityModel/CourseChange;STA;126;5.2;6.8;-0.3
+0.0ns;/NodeList/127/$ns3::MobilityModel/CourseChange;STA;127;6;6.8;-0.3
+0.0ns;/NodeList/128/$ns3::MobilityModel/CourseChange;STA;128;6.8;6.8;-0.3
+0.0ns;/NodeList/129/$ns3::MobilityModel/CourseChange;STA;129;7.6;6.8;-0.3
+0.0ns;/NodeList/130/$ns3::MobilityModel/CourseChange;STA;130;8.4;6.8;-0.3
+0.0ns;/NodeList/131/$ns3::MobilityModel/CourseChange;STA;131;9.2;6.8;-0.3
+0.0ns;/NodeList/132/$ns3::MobilityModel/CourseChange;STA;132;10;6.8;-0.3
+0.0ns;/NodeList/133/$ns3::MobilityModel/CourseChange;STA;133;10.8;6.8;-0.3
+0.0ns;/NodeList/134/$ns3::MobilityModel/CourseChange;STA;134;11.6;6.8;-0.3
+0.0ns;/NodeList/135/$ns3::MobilityModel/CourseChange;STA;135;0.4;7.6;-0.3
+0.0ns;/NodeList/136/$ns3::MobilityModel/CourseChange;STA;136;1.2;7.6;-0.3
+0.0ns;/NodeList/137/$ns3::MobilityModel/CourseChange;STA;137;2;7.6;-0.3
+0.0ns;/NodeList/138/$ns3::MobilityModel/CourseChange;STA;138;2.8;7.6;-0.3
+0.0ns;/NodeList/139/$ns3::MobilityModel/CourseChange;STA;139;3.6;7.6;-0.3
+0.0ns;/NodeList/140/$ns3::MobilityModel/CourseChange;STA;140;4.4;7.6;-0.3
+0.0ns;/NodeList/141/$ns3::MobilityModel/CourseChange;STA;141;5.2;7.6;-0.3
+0.0ns;/NodeList/142/$ns3::MobilityModel/CourseChange;STA;142;6;7.6;-0.3
+0.0ns;/NodeList/143/$ns3::MobilityModel/CourseChange;STA;143;6.8;7.6;-0.3
+0.0ns;/NodeList/144/$ns3::MobilityModel/CourseChange;STA;144;7.6;7.6;-0.3
+0.0ns;/NodeList/145/$ns3::MobilityModel/CourseChange;STA;145;8.4;7.6;-0.3
+0.0ns;/NodeList/146/$ns3::MobilityModel/CourseChange;STA;146;9.2;7.6;-0.3
+0.0ns;/NodeList/147/$ns3::MobilityModel/CourseChange;STA;147;10;7.6;-0.3
+0.0ns;/NodeList/148/$ns3::MobilityModel/CourseChange;STA;148;10.8;7.6;-0.3
+0.0ns;/NodeList/149/$ns3::MobilityModel/CourseChange;STA;149;11.6;7.6;-0.3
+0.0ns;/NodeList/150/$ns3::MobilityModel/CourseChange;STA;150;0.4;8.4;-0.3
+0.0ns;/NodeList/151/$ns3::MobilityModel/CourseChange;STA;151;1.2;8.4;-0.3
+0.0ns;/NodeList/152/$ns3::MobilityModel/CourseChange;STA;152;2;8.4;-0.3
+0.0ns;/NodeList/153/$ns3::MobilityModel/CourseChange;STA;153;2.8;8.4;-0.3
+0.0ns;/NodeList/154/$ns3::MobilityModel/CourseChange;STA;154;3.6;8.4;-0.3
+0.0ns;/NodeList/155/$ns3::MobilityModel/CourseChange;STA;155;4.4;8.4;-0.3
+0.0ns;/NodeList/156/$ns3::MobilityModel/CourseChange;STA;156;5.2;8.4;-0.3
+0.0ns;/NodeList/157/$ns3::MobilityModel/CourseChange;STA;157;6;8.4;-0.3
+0.0ns;/NodeList/158/$ns3::MobilityModel/CourseChange;STA;158;6.8;8.4;-0.3
+0.0ns;/NodeList/159/$ns3::MobilityModel/CourseChange;STA;159;7.6;8.4;-0.3
+0.0ns;/NodeList/160/$ns3::MobilityModel/CourseChange;STA;160;8.4;8.4;-0.3
+0.0ns;/NodeList/161/$ns3::MobilityModel/CourseChange;STA;161;9.2;8.4;-0.3
+0.0ns;/NodeList/162/$ns3::MobilityModel/CourseChange;STA;162;10;8.4;-0.3
+0.0ns;/NodeList/163/$ns3::MobilityModel/CourseChange;STA;163;10.8;8.4;-0.3
+0.0ns;/NodeList/164/$ns3::MobilityModel/CourseChange;STA;164;11.6;8.4;-0.3
+0.0ns;/NodeList/165/$ns3::MobilityModel/CourseChange;STA;165;0.4;9.2;-0.3
+0.0ns;/NodeList/166/$ns3::MobilityModel/CourseChange;STA;166;1.2;9.2;-0.3
+0.0ns;/NodeList/167/$ns3::MobilityModel/CourseChange;STA;167;2;9.2;-0.3
+0.0ns;/NodeList/168/$ns3::MobilityModel/CourseChange;STA;168;2.8;9.2;-0.3
+0.0ns;/NodeList/169/$ns3::MobilityModel/CourseChange;STA;169;3.6;9.2;-0.3
+0.0ns;/NodeList/170/$ns3::MobilityModel/CourseChange;STA;170;4.4;9.2;-0.3
+0.0ns;/NodeList/171/$ns3::MobilityModel/CourseChange;STA;171;5.2;9.2;-0.3
+0.0ns;/NodeList/172/$ns3::MobilityModel/CourseChange;STA;172;6;9.2;-0.3
+0.0ns;/NodeList/173/$ns3::MobilityModel/CourseChange;STA;173;6.8;9.2;-0.3
+0.0ns;/NodeList/174/$ns3::MobilityModel/CourseChange;STA;174;7.6;9.2;-0.3
+0.0ns;/NodeList/175/$ns3::MobilityModel/CourseChange;STA;175;8.4;9.2;-0.3
+0.0ns;/NodeList/176/$ns3::MobilityModel/CourseChange;STA;176;9.2;9.2;-0.3
+0.0ns;/NodeList/177/$ns3::MobilityModel/CourseChange;STA;177;10;9.2;-0.3
+0.0ns;/NodeList/178/$ns3::MobilityModel/CourseChange;STA;178;10.8;9.2;-0.3
+0.0ns;/NodeList/179/$ns3::MobilityModel/CourseChange;STA;179;11.6;9.2;-0.3
+0.0ns;/NodeList/180/$ns3::MobilityModel/CourseChange;STA;180;0.4;10;-0.3
+0.0ns;/NodeList/181/$ns3::MobilityModel/CourseChange;STA;181;1.2;10;-0.3
+0.0ns;/NodeList/182/$ns3::MobilityModel/CourseChange;STA;182;2;10;-0.3
+0.0ns;/NodeList/183/$ns3::MobilityModel/CourseChange;STA;183;2.8;10;-0.3
+0.0ns;/NodeList/184/$ns3::MobilityModel/CourseChange;STA;184;3.6;10;-0.3
+0.0ns;/NodeList/185/$ns3::MobilityModel/CourseChange;STA;185;4.4;10;-0.3
+0.0ns;/NodeList/186/$ns3::MobilityModel/CourseChange;STA;186;5.2;10;-0.3
+0.0ns;/NodeList/187/$ns3::MobilityModel/CourseChange;STA;187;6;10;-0.3
+0.0ns;/NodeList/188/$ns3::MobilityModel/CourseChange;STA;188;6.8;10;-0.3
+0.0ns;/NodeList/189/$ns3::MobilityModel/CourseChange;STA;189;7.6;10;-0.3
+0.0ns;/NodeList/190/$ns3::MobilityModel/CourseChange;STA;190;8.4;10;-0.3
+0.0ns;/NodeList/191/$ns3::MobilityModel/CourseChange;STA;191;9.2;10;-0.3
+0.0ns;/NodeList/192/$ns3::MobilityModel/CourseChange;STA;192;10;10;-0.3
+0.0ns;/NodeList/193/$ns3::MobilityModel/CourseChange;STA;193;10.8;10;-0.3
+0.0ns;/NodeList/194/$ns3::MobilityModel/CourseChange;STA;194;11.6;10;-0.3
+0.0ns;/NodeList/195/$ns3::MobilityModel/CourseChange;STA;195;0.4;10.8;-0.3
+0.0ns;/NodeList/196/$ns3::MobilityModel/CourseChange;STA;196;1.2;10.8;-0.3
+0.0ns;/NodeList/197/$ns3::MobilityModel/CourseChange;STA;197;2;10.8;-0.3
+0.0ns;/NodeList/198/$ns3::MobilityModel/CourseChange;STA;198;2.8;10.8;-0.3
+0.0ns;/NodeList/199/$ns3::MobilityModel/CourseChange;STA;199;3.6;10.8;-0.3
+0.0ns;/NodeList/200/$ns3::MobilityModel/CourseChange;STA;200;6;6;2
+0.0ns;/NodeList/200/$ns3::MobilityModel/CourseChange;AP;200;6;6;2
