+645567120.0ns;50;905;1;131;false;200;75;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.8892;true
+646727140.0ns;125;905;1;128;false;75;4294967295;75;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.8892;false
+648123136.0ns;84;905;1;131;false;35;200;35;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.6012;false
+649283152.0ns;126;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-91.6012;false
+650627179.0ns;86;905;1;131;false;0;200;0;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-80.3893;false
+651787206.0ns;127;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-96.3893;false
+653435222.0ns;15;905;1;131;false;200;115;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-87.9787;true
+654595233.0ns;129;905;1;128;false;115;4294967295;115;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-71.9787;false
+656243246.0ns;20;905;1;131;false;200;145;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-88.9718;true
+657403258.0ns;131;905;1;128;false;145;4294967295;145;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-72.9718;false
+658999280.0ns;41;905;1;131;false;200;133;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-92.5003;true
+660159297.0ns;133;905;1;128;false;133;4294967295;133;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.5003;false
+661755300.0ns;12;905;1;131;false;200;144;200;OfdmRate1_2MbpsBW1MHz;3;0;1;false;false;0;-113.976;-87.6924;true
+662915310.0ns;135;905;1;128;false;144;4294967295;144;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-71.6924;false
+664563340.0ns;54;905;1;131;false;200;166;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.8139;true
+665723360.0ns;137;905;1;128;false;166;4294967295;166;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.8139;false
+667171356.0ns;89;905;1;131;false;189;200;189;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.6012;false
+668331372.0ns;138;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-91.6012;false
+672675374.0ns;21;905;1;131;false;200;159;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-88.9718;true
+673835386.0ns;140;905;1;128;false;159;4294967295;159;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-72.9718;false
+675431414.0ns;55;905;1;131;false;200;182;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.6596;true
+676591434.0ns;142;905;1;128;false;182;4294967295;182;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.6596;false
+678187444.0ns;28;905;1;131;false;200;117;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-91.0735;true
+679347459.0ns;144;905;1;128;false;117;4294967295;117;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.0735;false
+680795468.0ns;91;905;1;131;false;12;200;12;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-79.2311;false
+681955492.0ns;145;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-98.2825;-95.2311;false
+683551525.0ns;51;905;1;131;false;200;105;200;OfdmRate1_2MbpsBW1MHz;3;0;1;false;false;0;-113.976;-93.5804;true
+684711545.0ns;147;905;1;128;false;105;4294967295;105;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.5804;false
+686307573.0ns;64;905;1;131;false;200;44;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-95.2311;true
+687467597.0ns;149;905;1;128;false;44;4294967295;44;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-79.2311;false
+689063603.0ns;27;905;1;131;false;200;107;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-91.0735;true
+690223618.0ns;151;905;1;128;false;107;4294967295;107;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.0735;false
+691619620.0ns;93;905;1;131;false;21;200;21;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.5003;false
+692779637.0ns;152;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-92.1608;-92.5003;false
+694375651.0ns;11;905;1;131;false;200;140;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-87.6924;true
+695535661.0ns;154;905;1;128;false;140;4294967295;140;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-71.6924;false
+697131677.0ns;22;905;1;131;false;200;52;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-89.5957;true
+698291690.0ns;156;905;1;128;false;52;4294967295;52;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-73.5957;false
+705459746.0ns;34;905;1;131;false;200;77;200;OfdmRate1_2MbpsBW1MHz;3;0;1;false;false;0;-113.976;-91.6012;true
+706619762.0ns;158;905;1;128;false;77;4294967295;77;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.6012;false
+708215768.0ns;14;905;1;131;false;200;94;200;OfdmRate1_2MbpsBW1MHz;3;0;1;false;false;0;-113.976;-88.248;true
+709375779.0ns;160;905;1;128;false;94;4294967295;94;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-72.248;false
+713875805.0ns;26;905;1;131;false;200;71;200;OfdmRate1_2MbpsBW1MHz;3;0;1;false;false;0;-113.976;-91.0735;true
+715035820.0ns;162;905;1;128;false;71;4294967295;71;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.0735;false
+721879845.0ns;95;905;1;131;false;191;200;191;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.8901;false
+723039863.0ns;164;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-92.8901;false
+724487872.0ns;97;905;1;131;false;114;200;114;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-70.3252;false
+725647881.0ns;165;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-86.3252;false
+727147889.0ns;99;905;1;131;false;128;200;128;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-69.4508;false
+728307897.0ns;166;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-85.4508;false
+729903925.0ns;46;905;1;131;false;200;73;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.2485;true
+731063944.0ns;168;905;1;128;false;73;4294967295;73;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.2485;false
+732867949.0ns;19;905;1;131;false;200;85;200;OfdmRate1_2MbpsBW1MHz;3;0;1;false;false;0;-113.976;-88.9718;true
+734027961.0ns;170;905;1;128;false;85;4294967295;85;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-72.9718;false
+735683966.0ns;102;905;1;131;false;72;200;72;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.1839;false
+736843983.0ns;171;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-101.266;-92.1839;false
+738439994.0ns;7;905;1;131;false;200;95;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-86.7071;true
+739600003.0ns;173;905;1;128;false;95;4294967295;95;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-70.7071;false
+741412011.0ns;104;905;1;131;false;162;200;162;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.1839;false
+742572028.0ns;174;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-92.1839;false
